;Latitude;Longitude
REWE City Filiale Leipziger Str. 94 in 06108 Halle (Saale)-Altstadt;514.810.983;119.739.233
REWE City Filiale Kellnerstr 4 in 06108 Halle (Saale)-Altstadt;514.817.549;119.654.063
REWE Filiale Krausenstr. 7 in 06112 Halle (Saale);514.882.897;119.824.275
REWE Filiale Merzdorfer Str. 22 in 01591 Riesa;513.185.157;132.621.446
REWE Oliver Richter Filiale An den Leinewiesen 2 in 04509 Krostitz;514.628.232;12.444.339
REWE Markt Thomas Wietasch oHG Filiale Carl-Robert-Str. 4 in 06114 Halle (Saale) / Giebichenstein-Giebichenstein;515.026.485;119.679.012
REWE Center Filiale Herner Str. 7 in 06295 Lutherstadt Eisleben;515.124.717;115.754.419
REWE am besten PETZ Filiale Grossenhainer Str. 58 in 01471 Radeburg;512.185.222;137.186.959
REWE Filiale Grenzstr. - in 04838 Eilenburg;514.558.261;126.180.016
REWE Filiale Raiffeisenstr. 1 in 04509 Delitzsch;515.110.496;123.354.672
REWE Filiale Eisenbahnstr. 28 in 04509 Delitzsch;515.268.726;123.434.955
REWE am besten PETZ Filiale Kamenzer Str. 6A in 01896 Pulsnitz;511.872.424;140.154.936
REWE Nahkauf J. Diessner Filiale Dresdener Str. 15 in 01904 Neukirch;510.966.382;142.835.344
REWE am besten PETZ Filiale Carl-Maria-V.-Weber-Str. 1 in 01877 Bischofswerda-Belmsdorf;511.375.956;141.834.511
REWE Center Filiale Hochwaldstr. 20 in 02763 Zittau;508.878.703;148.011.149
REWE  Anne Skiba  oHG Filiale Unterer Kirchweg 5 in 02730 Ebersbach-Neugersdorf, Stadt;510.076.671;1.458.515
REWE Gersdorfer Landhandel GmbH Filiale Bahnhofstr. 17A in 01920 Gersdorf-Bischheim;512.253.723;140.438.003
REWE nahkauf Enrico Hohlfeld Filiale Hauptstr. 199 in 02739 Eibau;5.099.393;1.464.203
REWE am besten PETZ Filiale Marktstr. 16 in 01609 Groeditz;514.120.547;134.452.042
REWE Filiale Brehnaer Str. 34 in 06749 Bitterfeld-Wolfen;516.126.543;12.306.072
REWE Nahkauf Juergen Diessner Filiale Beiersdorfer Str. 32 in 02708 Schoenbach;510.626.082;145.655.486
REWE Filiale Dommitzscher Str. 13 in 04849 Bad Dueben;515.927.361;125.932.225
REWE Filiale Wallstr. 8 in 06493 Harzgerode;516.426.333;111.399.181
REWE Filiale Lindenweg 3 in 06333 Hettstedt;516.567.432;114.984.045
REWE Nahkauf Schaaf Filiale Czornebohstr. 2a in 02733 Cunewalde;511.011.111;14.52
REWE Nahkauf Peter Weise Filiale Grossenhainer Str. 15 in 01990 Ortrand;513.734.418;137.581.369
REWE Filiale Bernburger Str. 10 in 06420 Koennern;516.753.858;117.730.753
REWE APH e.G. Hinsdorf GbR Filiale Gewerbepark 1 in 06369 Weissandt-Goelzau;51.672.766;120.806.712
REWE Center Filiale Lauchhammerstr 60 in 04910 Elsterwerda;514.655.876;135.344.776
REWE Filiale Heinrich-Heine-Str. 1 in 04924 Bad Liebenwerda;515.244.373;134.058.195
REWE Filiale Quedlinburger Str. 12 b in 06493 Ballenstedt;51.722.636;112.187.424
REWE Filiale Liebenwerdaer Str. 30 in 04895 Falkenberg;515.775.868;132.441.491
REWE Filiale Otto-Schoenermark-Str. 2 in 06502 Thale;517.509.156;110.398.847
REWE Filiale Gadewitzer Weg 20 in 06773 Graefenhainichen-Mescheide;517.265.199;124.326.727
REWE NK Agrargenossenschaft Filiale Umgehungsstr. 30 in 06406 Bernburg-Baalberge;517.658.146;117.988.691
REWE Filiale Ortrander Str. 9 in 01979 Lauchhammer;514.935.911;137.639.635
REWE Filiale Schipkauer Str. 13 in 01987 Schwarzheide;514.678.717;13.870.837
Rewe Markt Bianka Hesse OHG Filiale Schipkauer str. 3 in 01987 Schwarzheide;514.678.717;13.870.837
REWE Filiale Kustrenaer Str. 75 in 06406 Bernburg;517.859.885;117.368.016
REWE Filiale Harzweg 23 in 06484 Quedlinburg-Quarmbeck;517.821.273;111.449.881
REWE Filiale Karlsplatz 25 in 06406 Bernburg (Saale);517.939.822;117.423.043
REWE nahkauf Marcel Weber Filiale Breite Str. 19 in 06484 Quedlinburg-Quarmbeck;517.919.912;111.445.411
REWE Nahkauf Aph e.G. Hinsdorf GbR Filiale Ernst-Thaelmann-Str. 14 in 06386 Osternienburg;518.100.848;120.132.778
REWE Filiale Franzstr. 159 in 06842 Dessau-Rosslau;518.245.574;122.424.057
REWE Filiale Reichenbacher Str. 19 in 02827 Goerlitz-Rauschwalde-Rauschwalde;511.486.771;149.557.465
REWE Filiale Kavalierstr. 49 in 06844 Dessau-Rosslau;518.338.403;122.443.776
REWE Filiale Teschenstr. 1 in 02977 Hoyerswerda;514.401.404;142.469.094
REWE Filiale Lausitzer Platz 2 in 02977 Hoyerswerda;514.375.378;142.594.557
REWE Filiale Bahnhofstr. 40 in 01968 Senftenberg;51.523.996;140.028.557
REWE Filiale Alte Schweinitzer Str. 1 A in 06917 Jessen;517.909.432;129.588.725
REWE Nahkauf Gehre Filiale Str. zum Kohlehandel in 03238 Finsterwalde;;
REWE Markt GmbH Filiale Luchplatz 2 in 06862 Rosslau;51.884.399;122.392.844
REWE am besten PETZ Filiale Kollmer Str. 8 in 02906 Niesky;51.286.773;148.194.559
REWE Filiale Markt 16 in 06886 Lutherstadt Wittenberg;518.683.874;126.444.013
REWE Filiale IFA-Park 6 in 01983 Grossraeschen;515.908.566;140.140.695
REWE Filiale 0128 Filiale Friedrichstr. 78 in 06886 Lutherstadt Wittenberg;518.683.874;126.444.013
REWE Ngo's Food GmbH Filiale Spremberger Str. 1 in 03119 Welzow;51.571.606;141.726.889
REWE Knaak, Claudia Filiale Hauptstr. 107 in 03246 Crinitz;517.419.342;137.738.442
REWE Markt GmbH Filiale Karl-Marx-Str. 10 in 03205 Calau;517.442.592;139.564.137
REWE Filiale Kleine Bahnhofstr. 1 in 03226 Vetschau/Spreewald, Stadt;5.178.383;1.407.757
REWE Filiale Leipziger Str. 13 in 03048 Cottbus-Spremberger Vorstadt;517.441.657;143.114.178
REWE Filiale Roter Platz 7 in 03222 Luebbenau;51.868.381;139.719.302
REWE Filiale Schweriner Str. 1 in 03046 Cottbus;51.760.922;143.174.076
REWE Filiale Willy-Brandt-Str. 19a in 03042 Cottbus;517.584.898;143.476.254
REWE Filiale Hermannstr. 16 in 03042 Cottbus / Sandow-Sandow;517.634.033;143.482.397
REWE Filiale Am Fliess 16 in 03044 Cottbus / Schmellwitz-Schmellwitz;517.855.484;143.432.255
REWE Filiale August-Bebel-Str. 2 in 03149 Forst (Lausitz);51.740.704;146.411.937
REWE Filiale Karl-Marx-Str. 96 in 03172 Guben;519.555.699;147.038.245
REWE Markt GmbH Filiale Schellstr. 12/13 in 15936 Dahme/Mark, Stadt;518.668.798;134.330.365
REWE Filiale Grosse Str. 64 in 14913 Jueterbog;519.898.147;13.081.284
REWE Nahkauf Creutzburg Filiale Bahnhofstr. 22 in 14823 Niemegk;520.808.226;126.941.865
REWE Filiale Str. der Einheit 4 a in 15938 Golssen;519.722.265;136.075.325
REWE Filiale Ziegelstr. 1 in 15907 Luebben;51.933.824;138.844.469
REWE Filiale Am Nuthefliess 4 in 14943 Luckenwalde;520.861.929;131.699.244
 Filiale Frankfurter Str. 104 A in 15907 Luebben;519.422.981;138.967.296
REWE Nahkauf Ngo Filiale Hauptstr. 31-35 in 15837 Baruth;52.049.971;135.045.821
REWE Filiale Trebbiner Str. 3 in 15838 Am Mellensee;521.416.485;133.645.503
REWE Filiale Virchowstr. 46 in 14547 Beelitz;5.223.826;129.725.182
REWE Filiale Am Muehlengraben 4 in 14959 Trebbin;522.236.295;132.178.905
REWE Ronny Faerber Filiale Am Markt 1 in 14547 Fichtenwalde;5.228.045;1.288.335
REWE Filiale Koenigsmarckstr. 18 a in 14774 Brandenburg an der Havel OT Plaue;524.027.281;124.120.049
REWE Filiale Kirschanger 5 in 14548 Schwielowsee OT Caputh;523.465.059;129.979.141
REWE Filiale Hauptstr. 45 in 15741 Bestensee;522.419.646;136.330.436
REWE Filiale Dr.-Kuelz-Str. 129-131 in 14542 Glindow-Glindow;52.367.208;129.110.057
REWE Filiale Neuendorfer Str. 76 in 14770 Brandenburg an der Havel;524.079.121;125.464.105
REWE Laute  oHG Filiale Neuendorfer Str. 52 in 14770 Brandenburg an der Havel, Stadt;524.079.121;125.464.105
REWE Filiale Sankt-Annen-Str. 23 in 14776 Brandenburg an der Havel;524.085.308;125.647.917
REWE Christopher Titze oHG Filiale Hauffstr. 34 in 14548 Schwielowsee;523.635.451;129.720.829
REWE Filiale Arthur-Scheunert-Allee 71 in 14558 Nuthetal / Bergholz-Rehbruecke;523.514.858;131.023.794
REWE Filiale Veilchenweg 2 in 14772 Brandenburg an der Havel;524.260.551;125.037.354
REWE Filiale Tschirchdamm 8 in 14772 Brandenburg;524.341.974;125.233.738
REWE City Filiale Anni-von-Gottberg-Str. 8 in 14480 Potsdam-Kirchsteigfeld;523.619.889;131.365.648
REWE Holger Gaul oHG Filiale Mittelstr. 27 in 15827 Blankenfelde-Mahlow;523.167.349;134.454.891
REWE Filiale Zum Grossen Zernsee 3 in 14542 Werder (Havel);523.979.356;129.180.682
REWE Filiale Schilfhof 22 in 14478 Potsdam/Schlaatz-Schlaatz;523.778.493;13.095.171
REWE Filiale Fontaneplatz 9 in 15711 Koenigs Wusterhausen;522.886.084;136.173.987
REWE Filiale Haeckelstr. 30 in 14471 Potsdam-Potsdam West;523.899.809;130.258.738
REWE Filiale An der Alten Zauche 45 in 14478 Potsdam / Schlaatz-Schlaatz;523.810.481;130.893.117
