;Latitude;Longitude
REWE Filiale Johannes-Kepler-Platz 5 in 14480 Potsdam;523.758.692;131.287.304
REWE Prosperi GmbH Filiale Galileistr. 16 in 14480 Potsdam;523.760.046;131.400.864
REWE Filiale Breite Str. 27 in 14471 Potsdam-Brandenburger Vorstadt;523.964.976;13.046.478
REWE Filiale Lotte-Pulewka-Str. 8 in 14473 Potsdam/Zentrum Ost;52.394.315;130.781.958
REWE Filiale In der Feldmark 3 in 14476 Potsdam OT Golm;524.125.571;129.748.432
REWE Filiale Karl-Marx-Str. 169 in 15713 Koenigs Wusterhausen-Niederlehme;52.304.186;13.649.121
REWE Filiale Berliner Damm 169 in 15831 Blankenfelde-Mahlow;523.531.153;134.061.499
REWE Filiale Potsdamer Str. 177 in 14469 Potsdam-Bornstedt;524.148.039;130.228.698
REWE Filiale Ludwig-Boltzmann-Str. 8 in 14469 Potsdam / Bornstedt-Bornstedt;524.135.561;130.365.311
REWE Filiale Luisenstr. 7 in 15831 Mahlow;5.236.151;134.121.963
REWE Filiale Ruhlsdorfer Str. 87 in 14513 Teltow;523.869.743;132.628.116
REWE Filiale Ringstr. 5A in 15848 Beeskow;521.731.168;142.526.597
REWE Filiale Freiheitstr. 55 in 15745 Wildau;523.252.421;136.238.854
REWE Filiale Nedlitzer Str. 19c in 14469 Potsdam-Bornstedt;524.236.331;130.531.185
REWE Filiale Mahlower Str. 142 in 14513 Teltow;523.968.061;132.807.421
REWE Filiale Schoenower Str. 11 in 14513 Teltow;524.011.094;132.719.313
REWE Filiale Karl-Marx-Str. 58-60 in 14532 Kleinmachnow;524.132.408;13.224.307
REWE Filiale Steinstr. 37-41 in 12307 Berlin-Lichtenrade;52.387.851;133.980.869
REWE Filiale Ladiusstr. 26 in 14165 Berlin / Zehlendorf-Zehlendorf;524.112.698;132.625.697
REWE Filiale Goethestr. 37 in 15738 Zeuthen;523.480.425;136.288.696
REWE Sebastian Schaefer oHG Filiale Am Pfarracker 1 in 12529 Schoenefeld;523.946.838;134.406.577
REWE Filiale Toepchiner Weg 189-193 in 12309 Berlin-Lichtenrade;524.017.036;13.412.768
REWE Filiale Lichtenrader Damm 102 in 12305 Berlin-Lichtenrade;524.040.031;134.055.581
REWE Filiale Hildburghauser Str. 29 in 12279 Berlin-Marienfelde;524.132.583;133.536.332
REWE Ngo Ngoc, Lam/Nguyen, Le Tran GbR Filiale Hildburghauser Str. 196 in 12209 Berlin-Lichterfelde;524.187.591;133.245.648
REWE Nahkauf Schramm Filiale v. Stechow Str. 10 in 14476 Fahrland;524.676.124;13.020.919
REWE Filiale Breisgauer Str. 1-3 in 14129 Berlin-Nikolassee;524.394.952;132.157.679
REWE Filiale Goerzallee 82 in 12205 Berlin-Lichterfelde;5.242.628;133.025.028
REWE Filiale Sakrower Landstr. 1a in 14089 Berlin-Kladow;524.529.262;131.429.505
REWE Filiale Malteserstr. 136-138 in 12249 Berlin/Lankwitz-Lankwitz;524.209.172;13.359.685
REWE Filiale Clayallee 336 in 14169 Berlin-Zehlendorf;524.371.414;132.619.438
REWE Rocco Braesemann oHG Filiale Malteserstr. 128 in 12249 Berlin-Lankwitz;524.209.172;13.359.685
REWE City Filiale Fischerhuettenstr. 64-68 in 14163 Berlin-Zehlendorf;524.422.965;132.405.762
REWE Markt GmbH Filiale Lankwitzer strasse in 12209 Berlin;524.293.734;133.299.008
REWE Nahkauf T.B.Nguyen Filiale Dessauer Str. 64 in 12249 Berlin-Lankwitz;524.292.317;1.334.659
REWE Nahkauf Khanh Chi Le Filiale Kaiser-Wilhelm-Str. 38-40 in 12247 Berlin-Lankwitz;52.432.933;133.394.288
REWE Delikat Rudow GmbH Filiale Liselotte-Berger-Platz 4-9 in 12355 Berlin-Rudow;524.038.889;135.063.889
REWE Filiale Potsdamer Chaussee 28 in 14476 Potsdam OT Gross Glienicke;5.247.144;131.033.072
REWE Filiale Adlergestell 744 in 12527 Berlin / Schmoeckwitz;523.792.162;136.435.338
REWE Nahkauf Ngo's Food GmbH Filiale Onkel-Tom-Str. 99 in 14169 Berlin-Zehlendorf;524.499.233;132.526.842
REWE Nahkauf Ralf Oelmann Filiale Drakestr. 33a in 12205 Berlin-Lichterfelde;52.443.277;132.968.616
REWE nahkauf Ngo¿s Food GmbH Filiale Leonorenstr. 99 in 12249 Berlin-Lankwitz;524.365.485;133.457.625
REWE Filiale Eichenauer Weg 61 in 12355 Berlin-Rudow;524.128.489;134.931.979
REWE Filiale Grossbeerenstr. 54-66 in 12107 Berlin-Mariendorf;524.340.866;13.376.687
REWE Filiale Wildhueterweg 42-46 in 12353 Berlin/Buckow-Gropiusstadt;524.220.713;134.489.412
REWE Filiale Hindenburgdamm 59A - 60 in 12203 Berlin / Lichterfelde;5.242.628;133.025.028
REWE Filiale Alt-Rudow 64 in 12355 Berlin-Rudow;524.172.709;134.959.121
REWE Nahkauf Vu Van Luc Filiale Birkbuschstr. 76-77 in 12167 Berlin-Steglitz;524.485.129;133.253.928
REWE City Filiale Koenigin-Luise-Str. 37 in 14195 Berlin-Dahlem;524.582.373;132.923.317
REWE Nahkauf T.B. Nguyen Filiale Liebenowzeile 29 in 12167 Berlin-Steglitz;5.244.937;1.334.994
REWE Thi Thanh Thao Nguyen Filiale Gersdorfstr. 40 in 12105 Berlin-Mariendorf;524.466.818;133.716.659
REWE Filiale Schoenefelder Chaussee 1 in 12524 Berlin-Altglienicke;524.180.911;135.370.261
REWE Nahkauf Hoang Tung Le Filiale Hirtsieferzeile 42-43 in 12351 Berlin-Gropiusstadt;5.243.121;1.346.958
REWE Filiale Bruno-Taut-Str. 1 in 12524 Berlin-Bohnsdorf;524.127.076;135.724.786
REWE Filiale Buckower Damm 50 in 12349 Berlin-Britz;524.402.077;134.339.665
Rewe Berlin/Steglitz Filiale Schlossstrasse/Grunewaldstr. 34-36/1-3 in 12163 Berlin;524.578.176;133.210.224
REWE City Filiale Bismarckstr. 68-69 in 12157 Berlin-Steglitz;524.618.129;133.400.989
REWE City Filiale Suedwestkorso 36 in 14197 Berlin-Wilmersdorf;524.684.886;133.117.604
REWE Markt GmbH Filiale Walther-Schreiber-Platz 1 in 12161 Berlin-Friedenau;52.465.898;133.277.331
REWE City Filiale Rheinstr. 30 in 12161 Berlin-Friedenau;524.669.985;133.301.111
REWE City Filiale Kaiserin-Augusta-Str. 55 in 12103 Berlin-Tempelhof;524.599.965;133.749.491
REWE Filiale Schlangenbader Str. 25 in 14197 Berlin / Wilmersdorf-Wilmersdorf;524.728.462;133.078.646
REWE City Filiale Sterndamm 140 in 12487 Berlin-Johannisthal;524.397.527;134.992.623
REWE Filiale Rheinstr. 14 in 12159 Berlin / Friedenau-Friedenau;524.698.297;133.330.769
REWE Filiale Wendenschlossstr. 354-358 in 12557 Berlin;524.252.458;135.850.771
REWE Nahkauf Michael Hellmund Filiale Goerresstr. 3 in 12161 Berlin-Friedenau;52.473.519;133.272.835
REWE Filiale Tempelhofer Weg 11 in 12347 Berlin-Britz;524.585.232;134.252.873
REWE Filiale Germaniastr. 12-13 in 12099 Berlin-Tempelhof;524.646.966;13.395.114
REWE Filiale Auerbachstr. 12 in 14193 Berlin/Grunewald-Grunewald;524.874.615;132.613.887
REWE Filiale Sterndamm 29-35 in 12487 Berlin-Johannisthal;524.510.998;135.094.101
REWE Filiale Hermannstr. 158a in 12051 Berlin-Neukoelln;52.466.917;134.319.814
REWE Filiale Schnellerstr. 74 in 12439 Berlin;524.514.415;135.296.353
REWE Nahkauf Ralf Oelmann Filiale Badensche Str. 56 in 10825 Berlin;524.854.756;133.408.064
REWE Filiale Oberspreestr. 145-149 in 12555 Berlin;52.446.116;135.642.871
REWE Filiale Pablo-Neruda-Str. 2 in 12559 Berlin;524.416.402;135.875.149
REWE Filiale Hauptstr. 141-144 in 10827 Berlin;524.991.379;133.621.876
REWE Filiale Hoppenrader Allee 9-11 in 14641 Wustermark;525.467.107;129.390.118
REWE City Filiale Bayernring 15 in 12101 Berlin-Tempelhof;524.836.916;133.775.055
REWE City Filiale Angerburger Allee 45 in 14055 Berlin-Westend;525.093.836;132.220.994
REWE Filiale Fehrbelliner Str. 49 in 14712 Rathenow;526.072.475;123.385.995
REWE City Filiale Konstanzer Str. 53 in 10707 Berlin-Wilmersdorf;52.510.843;132.919.115
REWE City Filiale Kurfuerstendamm 142 in 10709 Berlin;524.979.084;132.975.544
REWE Filiale Hamburger Chaussee 184 a in 14624 Dallgow-Doeberitz;525.351.384;130.614.246
Rewe Markt GmbH Filiale Rollbergstr. 59 in 12053 Berlin;524.784.296;134.295.321
REWE Nahkauf Oezkuscu Filiale Magistratsweg 13-17 in 13593 Berlin-Staaken;525.220.998;131.620.909
REWE Filiale Heerstr. 552-558 in 13591 Berlin;525.249.244;131.418.743
REWE Filiale Karl-Marx-Str. 92-98 in 12043 Berlin;524.798.766;134.358.774
REWE Filiale Bautzener Str. 36 in 10829 Berlin;524.917.589;133.713.618
GEBA Supermaerkte GmbH &amp;524.992.718;133.622.916
REWE Filiale Thiemannstr. 9-11 in 12059 Berlin/Neukoelln;524.786.383;13.451.016
REWE Filiale Friedrichstr. 22 A in 15537 Erkner;523.792.162;136.435.338
REWE Markt  GmbH Filiale Uhlandstr. 30 in 10719 Berlin, Stadt-Charlottenburg;525.010.212;13.324.562
REWE Ralf Oelmann Filiale Adamstr. 6 in 13595 Berlin-Wilhelmstadt;525.211.409;13.196.003
REWE Filiale Rummelsburger Str. 16 in 12459 Berlin;524.692.998;135.125.068
REWE City Filiale Theodor-Heuss-Platz 6 in 14052 Berlin-Westend;525.093.836;132.220.994
REWE Filiale Bahnhofstr. 33-38 in 12555 Berlin;524.577.739;135.769.098
REWE Nahkauf Olaf Vietz BVM KG Filiale Buelowstr. 44 in 10783 Berlin;524.954.865;13.365.672
REWE City Filiale Bahnhofstr. 23-25 in 12555 Berlin/Koepenick;524.578.646;135.790.225
REWE City Filiale Yorckstr. 78 in 10965 Berlin-Kreuzberg;52.493.122;13.382.999
REWE Nahkauf Khiem Filiale Fritschestr. 45-46 in 10627 Berlin-Charlottenburg;525.075.152;133.002.564
REWE Nahkauf Lind Filiale Kiehlufer 75 in 12059 Berlin;524.838.336;134.476.901
REWE City Filiale Pichelsdorfer Str. 110 in 13595 Berlin-Wilhelmstadt;525.246.853;131.977.521
REWE City Filiale Potsdamer Str. 128 in 10783 Berlin-Tiergarten;524.991.379;133.621.876
REWE City Filiale Wundtstr. 26 in 14059 Berlin-Charlottenburg;52.510.843;132.919.115
REWE Filiale Sophie-Charlotten-Str. 41 in 14059 Berlin-Charlottenburg;52.513.187;132.875.225
REWE Filiale Brunsbuetteler Damm 274 in 13591 Berlin-Staaken;52.533.562;131.554.495
REWE Nahkauf Tydecks Filiale Am Markt 6 in 15517 Fuerstenwalde- Spree;523.583.691;140.640.936
REWE Filiale Kiefholzstr. 50 in 12435 Berlin/Alt Treptow-Alt-Treptow;52.485.533;134.570.429
REWE City Filiale Bismarckstr. 91 in 10625 Berlin-Charlottenburg;525.114.941;133.096.247
REWE City Filiale Otto-Suhr-Allee 80-82 in 10585 Berlin / Charlottenburg-Charlottenburg;5.251.666;1.331.018
REWE Filiale Skalitzer Str. 134 in 10999 Berlin-Kreuzberg;524.993.725;134.187.919
REWE City Filiale Otto-Suhr-Allee 141 in 10585 Berlin / Charlottenburg-Charlottenburg;525.189.947;133.007.676
REWE Filiale Alte Potsdamer Str. 7 in 10785 Berlin-Tiergarten;525.063.885;133.739.115
REWE Filiale Trebuser Str. 1 in 15517 Fuerstenwalde;523.693.889;140.600.608
REWE City Filiale Wrangelstr. 53 in 10997 Berlin-Kreuzberg;524.984.053;134.418.505
REWE Filiale Soemmeringstr. 24-26 in 10589 Berlin-Charlottenburg;525.234.858;133.067.138
REWE City Filiale Friedrichstr. 60 in 10117 Berlin-Mitte;525.110.949;133.900.384
REWE City Filiale Bartningallee 3 in 10557 Berlin;525.186.796;1.334.269
REWE City Filiale Friedrichstr. 67-70 in 10117 Berlin-Mitte;525.126.154;133.905.721
REWE Deniz Cetin Filiale Im Spektefeld 32-34 in 13589 Berlin;52.549.336;131.557.518
REWE Marcel Tuffin oHG Filiale Dolgenseestr. 9 c-f in 10319 Berlin, Stadt-Friedrichsfelde;524.926.528;135.070.326
REWE Filiale Bahnhofstr. 72 in 14612 Falkensee;525.598.296;130.939.245
REWE Filiale Tamara Danz Str. 11 in 10243 Berlin;525.060.818;134.465.683
REWE Filiale Wasserwerkstr. 2 in 13589 Berlin;525.513.166;131.661.056
REWE Filiale Koepenicker Str. 192-196 in 12683 Berlin/Biesdorf-Biesdorf;524.867.653;135.596.155
REWE Filiale Nonnendammallee 120 in 13629 Berlin-Siemensstadt;525.399.126;13.249.338
REWE Filiale Revaler Str. 33 in 10245 Berlin / Friedrichshain-Friedrichshain;525.060.724;134.591.198
REWE Filiale Siemensdamm 43-44 in 13629 Berlin-Siemensstadt;525.362.383;1.327.471
REWE Filiale Am Ostbahnhof 9 in 10243 Berlin;525.094.356;134.351.163
REWE City Filiale Turmstr. 48 in 10551 Berlin-Moabit;525.271.831;133.329.052
REWE Nahkauf Duy Minh Filiale Spandauer Str. 160b in 14612 Falkensee;525.583.057;131.355.168
REWE City Filiale Schoenwalder Str. 32 in 13585 Berlin/Spandau-Spandau;525.488.909;132.010.253
REWE Filiale Revaler Str. 2 in 10243 Berlin-Friedrichshain;525.090.052;13.450.207
REWE Filiale Hoenower Weg 1 d in 15366 Hoppegarten;525.165.387;13.648.336
REWE City Filiale Friedrichstr. 100 in 10117 Berlin-Mitte;525.204.582;133.885.876
REWE Filiale Volkradstr. 32 in 10319 Berlin / Friedrichsfelde-Friedrichsfelde;524.994.461;135.077.105
REWE Filiale Am Tierpark 68 1 in 10319 Berlin-Friedrichsfelde;524.982.586;135.215.812
REWE City Filiale Hauptbahnhof 1. UG in 10557 Berlin-Moabit;525.257.191;133.685.065
REWE Filiale Haslacher Str. 2 in 14656 Brieselang;525.818.485;12.997.941
REWE Filiale Weitlingstr. 59 in 10317 Berlin-Rummelsburg;525.055.806;134.962.981
REWE City Filiale Litfass 4 in 10178 Berlin-Mitte;52.522.141;134.034.651
REWE Filiale Alfred-Kowalke-Str. 2 in 10315 Berlin-Friedrichsfelde;525.049.352;135.150.149
REWE Filiale Frankfurter Allee 144 in 10365 Berlin-Lichtenberg;52.512.132;134.819.029
REWE Filiale Chausseestr. 118 in 10115 Berlin-Mitte;525.295.301;133.841.341
REWE Filiale Eldenaer Str. 42 in 10247 Berlin-Friedrichshain;525.205.749;13.462.497
REWE Filiale Invalidenstr. 158 in 10115 Berlin-Mitte;525.323.654;133.972.095
REWE Filiale Rauchstr. 56 in 13587 Berlin-Hakenfelde;525.615.469;132.138.665
REWE Filiale Schoenhauser Allee 10 in 10119 Berlin-Prenzlauer Berg;525.303.884;134.117.549
REWE City Filiale Landsberger Allee 68d in 10249 Berlin-Friedrichshain;52.525.474;134.464.159
REWE Filiale Dammstr. 7 a in 14641 Nauen;526.088.924;128.798.666
REWE Markt Gmb Filiale Alfred-Jung-Str. 12 in 10369 Berlin, Stadt-Lichtenberg;525.233.118;134.777.901
REWE City Filiale Landsberger Allee 117 in 10407 Berlin-Prenzlauer Berg;525.288.656;134.560.194
REWE Filiale Alt-Kaulsdorf 64 in 12621 Berlin-Kaulsdorf;52.504.536;13.590.525
REWE City Filiale Pasteurstr. 19-25 in 10407 Berlin-Prenzlauer Berg;5.253.344;1.343.432
REWE Filiale Schoenhauser Allee 36-39 in 10435 Berlin/Prenzlauer Berg-Prenzlauer Berg;525.387.777;134.125.816
REWE Filiale Anton-Saefkow-Platz 10 in 10369 Berlin / Lichtenberg;525.286.726;134.704.869
REWE Filiale Muellerstr. 141 in 13353 Berlin-Wedding;525.488.399;13.353.878
REWE Markt GmbH Filiale Bernhard-Baestlein-Str. 1 in 10367 Berlin;525.273.798;134.812.713
REWE City Filiale John-Schehr-Str. 20-24 in 10407 Berlin-Prenzlauer Berg;525.363.858;134.366.407
REWE Filiale Rustweg 1 in 13587 Berlin/Spandau-Hakenfelde;525.758.891;132.133.842
REWE Center Filiale Badstr. 4 in 13357 Berlin;525.496.708;133.876.365
REWE City Filiale Schoenhauser Allee 130 in 10437 Berlin-Prenzlauer Berg;525.455.681;134.123.463
REWE City Filiale Badstr. 57-58 in 13357 Berlin;525.514.448;133.827.182
REWE Filiale Marchwitzastr. 29 in 12681 Berlin-Marzahn;525.272.689;135.387.592
REWE Kai Windmueller oHG Filiale Hoenower Str. 80 in 12623 Berlin, Stadt-Mahlsdorf;525.116.992;136.134.886
REWE Filiale Grellstr. 75 in 10409 Berlin-Prenzlauer Berg;525.508.563;134.323.921
REWE Markt GmbH Ost Filiale Pappelallee 47 in 10437 Berlin, Stadt-Prenzlauer Berg;52.547.559;13.419.089
REWE City Filiale Greifswalder Str. 154-156 in 10409 Berlin-Prenzlauer Berg;525.438.127;134.413.651
REWE Filiale Helene-Weigel-Platz 1,2 in 12681 Berlin-Marzahn;525.272.689;135.387.592
REWE Filiale Kurt-Schumacher-Platz 1-15 in 13405 Berlin;525.629.514;133.287.161
REWE Markt GmbH Filiale Genslerstr. 34 in 13055 Berlin;52.535.419;134.965.123
REWE Filiale Schivelbeiner Str. 38 in 10439 Berlin-Prenzlauer Berg;525.507.495;134.099.116
REWE Filiale Oberfeldstr. 138 in 12683 Berlin-Biesdorf;525.247.265;135.582.407
REWE Dominik Lingstaedt oHG Filiale Niederheidenstr. 153 in 15366 Neuenhagen bei Berlin;525.015.475;136.888.704
REWE Filiale Cecilienplatz 11 in 12619 Berlin-Hellersdorf;525.215.908;135.893.503
REWE Filiale Ostseestr. 23 in 10409 Berlin / Prenzlauer Berg-Prenzlauer Berg;525.508.563;134.323.921
REWE Nahkauf M. Lind Filiale Bottroper Weg 18 in 13507 Berlin-Tegel;525.768.614;132.783.707
REWE Nahkauf F.Sevim Filiale Antonienstr. 18-20 in 13403 Berlin-Reinickendorf-Reinickendorf;525.716.909;133.124.016
REWE Filiale Wuhlestr. 31 in 12683 Berlin / Biesdorf-Biesdorf;525.283.264;135.687.854
REWE nahkauf Drabiszczak Filiale Habichtstr. 16 in 13505 Berlin;525.857.986;13.233.285
REWE Filiale Konrad-Wolf-Str. 24 in 13055 Berlin;52.543.783;134.907.963
REWE Filiale Eschengraben 47 in 13189 Berlin-Pankow;525.565.525;134.242.459
REWE Markt GmbH Filiale Neue Grottkauer Str. 9 in 12619 Berlin, Stadt-Hellersdorf;52.529.414;13.594.044
REWE Filiale Neue Grottkauer Str. 23 in 12619 Berlin-Hellersdorf;52.529.414;13.594.044
REWE Filiale Neumannstr. 13 in 13189 Berlin-Pankow;5.256.189;13.422.239
REWE Filiale Lindenallee 6 in 15366 Dahlwitz-Hoppegarten;525.162.397;136.700.223
REWE Filiale Ernststr. 7 in 13509 Berlin-Tegel;525.830.281;132.914.564
REWE Filiale Wollankstr. 16 in 13187 Berlin-Pankow;525.661.375;133.955.558
REWE Filiale Emmentaler Str. 122-130 in 13409 Berlin / Reinickendorf-Reinickendorf;52.571.833;133.657.853
REWE Nahkauf Becker Filiale Hauptstr. 66 in 15378 Herzfelde;524.822.222;138.469.444
REWE Filiale Am Borsigturm 2 in 13507 Berlin-Tegel;525.830.281;132.914.564
REWE Filiale Marzahner Promenade 1a in 12679 Berlin;525.442.163;135.453.585
REWE Filiale Allee Der Kosmonauten 196 in 12685 Berlin-Marzahn;525.412.614;135.652.567
REWE Nahkauf Ralf Oelmann Filiale Berliner Allee 261 in 13088 Berlin;525.614.789;134.673.073
REWE Filiale Ernst-Thaelmann-Str. 7-11 in 15366 Neuenhagen;525.215.296;136.977.727
REWE Filiale Roedernallee 118a in 13437 Berlin-Wittenau;525.892.949;133.386.979
REWE Filiale Alexej-Leonow-Str. 2a in 15236 Frankfurt (Oder);523.278.604;1.451.899
REWE Markt Filiale Hermann-Hesse-Str. 12 in 13156 Berlin;525.813.473;134.006.456
REWE Filiale Brodowiner Ring 8 in 12679 Berlin-Marzahn;525.502.474;135.782.789
REWE Filiale Prerower Platz 1 in 13051 Berlin;525.647.089;135.063.883
REWE Filiale Mehrower Allee 20 in 12687 Berlin;525.558.165;135.594.603
REWE Filiale Stienitzstrasse in 15366 Hoenow;525.414.652;136.489.689
REWE Filiale Ribnitzer Str. 26 in 13051 Berlin;525.696.388;134.947.442
REWE Filiale Vincent-van-Gogh-Str. 18a in 13057 Berlin;52.565.111;13.523.567
REWE Filiale Oberweissbacher Str. 2-4 in 12687 Berlin / Marzahn-Marzahn;525.565.662;135.714.588
REWE Filiale Kastanienallee 38 in 13158 Berlin-Rosenthal;525.918.842;133.825.408
REWE Filiale Randowstr. 3 in 13057 Berlin;525.672.241;135.278.637
REWE Filiale Pasewalker Str. 115-117 in 13127 Berlin;52.584.259;134.299.601
REWE City Filiale Ruppiner Chaussee 235 in 13503 Berlin-Heiligensee;526.145.479;132.444.763
REWE Filiale Brueckenstr. 5 in 15370 Fredersdorf-Vogelsdorf;525.243.951;137.623.983
REWE Filiale Ernst-Barlach-Str. 19 in 13059 Berlin / Neu-Hohenschoenhausen;525.749.242;135.096.236
REWE Filiale Koethener Str. 1 in 12689 Berlin-Marzahn;525.685.338;135.567.579
REWE Filiale Havemannstr. 12A in 12689 Berlin-Marzahn;525.688.367;13.568.572
REWE Cindy &amp;;
REWE Nahkauf Thi Thu Trang Pham Filiale Titiseestr. 3 in 13469 Berlin-Waidmannslust;526.096.247;133.353.809
REWE City Filiale Glienicker Str. 6 b-c in 13467 Berlin-Hermsdorf;526.176.925;133.084.232
REWE City Filiale Heinsestr. 46-48 in 13467 Berlin-Hermsdorf;526.187.284;133.058.706
REWE Nahkauf Pham Filiale Dr.-Salvador-Allende-Hoehe 2 in 15230 Frankfurt;523.450.274;145.447.689
REWE Filiale Hansaplatz 5 in 15234 Frankfurt/Oder;523.523.558;145.372.167
REWE Filiale Hauptstr. 65-70 in 13127 Berlin / Franzoesisch Buchholz;526.042.495;134.326.986
REWE Filiale Rosenthaler Weg 74 in 13127 Berlin;526.072.505;134.286.208
REWE City Filiale Ludolfingerplatz 1 in 13465 Berlin-Frohnau;526.325.304;132.889.506
REWE Uwe Dopichay e.K. Filiale Am Markt 21 in 15345 Eggersdorf;525.390.579;138.182.619
REWE Oliver Jaenisch oHG Filiale Landsberger Str. 21 in 15345 Altlandsberg, Stadt;525.524.652;137.762.085
REWE Filiale Hubertusdamm 53-59 in 13125 Berlin-Karow;526.165.768;134.719.186
REWE Regiemarkt GmbH Filiale Ernst-Thaelmann-Str. 35 b in 15345 Rehfelde;525.298.417;139.158.948
REWE Filiale Achillesstr. 46 in 13125 Berlin-Karow;526.184.298;13.486.795
REWE Filiale Am Annatal 63 in 15344 Strausberg;52.549.736;138.643.274
REWE Filiale Schoenfliesser Str. 15A in 16552 Schildow;526.417.975;133.732.144
REWE Filiale Rosa-Luxemburg-Str. 20 in 16727 Velten;526.782.792;131.646.567
REWE Filiale Schoenfliesser Str. 25i in 16540 Hohen Neuendorf;526.664.761;132.979.591
REWE Filiale Neue Kaerntner Str. 1 in 16341 Panketal;526.293.941;135.291.187
REWE Filiale Zepernicker Str. 10 in 13125 Berlin/Buch-Buch;526.407.648;135.154.587
REWE Daniela Klinger Filiale Am Amtshaus 2a in 16341 Panketal-Zepernick;5.266.043;135.341.025
REWE Filiale Eichenallee 6 in 16767 Leegebruch;527.231.169;131.889.169
REWE Filiale Bernauer Allee 18 in 16321 Bernau OT Schoenow/Birkholzaue;52.677.094;135.446.561
REWE Nahkauf Hellmund, Jutta Filiale Bruederstr. 10 in 16321 Bernau;526.790.087;135.908.868
REWE Filiale Prenzlauer Str. 71 in 16348 Wandlitz;527.107.312;134.392.772
REWE Filiale Lehnitzstr. 85 in 16515 Oranienburg-Lehnitz;527.457.403;132.543.605
REWE Nahkauf T.P. Nguyen Filiale Bernauer Str. 100 in 16515 Oranienburg-Lehnitz;527.588.228;132.535.568
REWE Filiale Karl-Marx-Allee 6a in 15320 Neuhardenberg;525.969.758;142.364.466
REWE Regiemarkt GmbH Filiale Str. der Jugend 5 E in 16866 Kyritz, Stadt;529.422.134;123.872.026
REWE Filiale Neustaedter Str. 29 in 16816 Neuruppin;529.169.292;127.849.262
REWE Filiale Freienwalder Str. 51-55 in 16269 Wriezen;527.211.614;141.358.589
REWE Filiale Heegermuehler Str. 19 in 16225 Eberswalde;52.835.913;137.894.357
REWE Filiale Falkenthaler Chaussee 57 in 16792 Zehdenick;529.705.078;133.248.492
REWE Regiemarkt GmbH Filiale Gruenstr. 11 in 16792 Zehdenick, Stadt;529.907.029;133.469.079
REWE Filiale Bergstr. 45 in 16928 Pritzwalk;531.507.441;121.824.468
REWE Filiale Roebeler Str. 47 in 16909 Wittstock/Dosse;531.708.956;124.980.671
REWE Nahkauf Berge Schulstr. Filiale Schulstr. 2a in 19348 Berge;532.389.698;118.734.309
REWE Filiale Prenzlauer Str. 41 in 16278 Angermuende;530.213.391;139.986.993
